name,email,website,category,address,final_score,priority_level,status
"cult.fit","hello@cult.fit","https://www.cure.fit/","gym","bengaluru",15,"WARM_LEAD","PENDING"
"WE Fitness, Health and Wellness Center","wefitnessblr@gmail.com","https://wefithealth.com/","gym","23rd Main Rd, Nagaraja Garden, J P Nagar Phase 5, JP Nagar, bengaluru",15,"WARM_LEAD","PENDING"
"i-fitness","info@i-fitness.in","https://i-fitness.in/","gym","Chabria Square, KH Road, Bhadrappa Layout, Srinivas Colony, Sudhama Nagar,, bengaluru",5,"COLD_LEAD","PENDING"
"The Fitness Zone","you@example.com","https://www.thefitnesszone.in/","gym","1st Main, 4th Cross, Maruthi Nagar, Near-RS High School, Madiwala, Chikka Madivala, 1st Stage, BTM Layout, bengaluru",15,"WARM_LEAD","PENDING"
"Bodycraft Academy","guestrelations@bodycraft.co.in","https://www.bodycraft.co.in/","gym","Ganapathi Temple Road,7th Block, Koramangala, bengaluru",15,"WARM_LEAD","PENDING"
"Chisel Fitness Center","flags@2x.png","https://chisel.co.in/","gym","J.B Square building, Kalpana Chawala Road, Sanjay Nagar, bengaluru",15,"WARM_LEAD","PENDING"
"Body and Soul Fitness Academy","info@bodyandsoul.org","https://bodyandsoul.org/","gym","Spice Garden Complex, Marathahalli Main Rd, Spice Garden Layout, Lakshminarayana Pura, Marathahall, bengaluru",5,"COLD_LEAD","PENDING"
"Pulse Fitness","contact@gympik.com","https://www.gympik.com/","gym","Thambu Chetty Palya Main Rd, Bhadrappa Layout, M Vishveshvaraiah Nagar, Horamavu, bengaluru",5,"COLD_LEAD","PENDING"
"Impact Fitness Studio","impactfitness2021@gmail.com","https://www.impactfitness.in/","gym","HAL 2nd Stage, Indiranagar, Bhadrappa Layout, Sodepur, Appareddipalya, Indiranagar, Bengaluru, bengaluru",15,"WARM_LEAD","PENDING"
"Fitness One Gym","info@fitnessone.in","https://www.fitnessone.in/","gym","Fitness One Brookefield, AECS Layout - C Block, AECS Layout, Brookefield,, bengaluru",5,"COLD_LEAD","PENDING"
"Gold's Gym","customer.care@goldsgym.in","https://goldsgym.in/","gym","No.2631, 27th Main Road, 1st Sector, HSR Layout, Opp CPWD Complex, 1st Sector, HSR Layout, bengaluru",15,"WARM_LEAD","PENDING"
"Academy of Strength","info@academyofstrength.in","https://www.academyofstrength.in/","gym","100ft Road, HAL 2nd Stage, bengaluru",5,"COLD_LEAD","PENDING"
"The Practice Room","yoga@thepracticeroom.in","https://thepracticeroom.in","gym","bengaluru",15,"WARM_LEAD","PENDING"
"cult.fit","hello@cult.fit","https://www.cult.fit","gym","Swamy Vivekanandha Road, bengaluru",15,"WARM_LEAD","PENDING"
"National Academy Of Naturopathy And Yoga","nanyhlm@gmai.com","https://sahajaswasthya.com/","gym","3rd Cross, 5th Main, bengaluru",15,"WARM_LEAD","PENDING"
"Asana","asanagroups@gmail.com","https://asanayogacafe.com/","gym","8th Main Road, bengaluru",15,"WARM_LEAD","PENDING"
